"transaction_id","transaction_customer_id","demographics_customer_id","first_name","last_name","gender","DOB","job_title","job_industry_category","wealth_segment","tenure","address_customer_id","address","postcode","state","country","product_first_sold_date","product_id","online_order","order_status","brand","product_line","product_class","product_size","transaction_date","list_price","standard_cost"
"3204","1091","","","","","","","","","","1091","0 Fremont Court","3023","Victoria","Australia","2006-11-10","31","Yes","Approved","Giant Bicycles","Standard","medium","medium","2017-06-10","230.91","173.18"
"3205","2845","","","","","","","","","","2845","082 Twin Pines Avenue","4270","Queensland","Australia","2006-02-02","40","Yes","Approved","OHM Cycles","Standard","high","medium","2017-10-13","1458.17","874.9"
"3209","60","","","","","","","","","","60","39 3rd Drive","2026","New South Wales","Australia","2005-05-10","90","No","Approved","Norco Bicycles","Standard","low","medium","2017-05-27","363.01","290.41"
"3212","1469","","","","","","","","","","1469","93482 Jenifer Alley","2439","New South Wales","Australia","2010-08-20","61","No","Approved","OHM Cycles","Standard","low","medium","2017-07-16","71.16","56.93"
"3213","2102","","","","","","","","","","2102","434 Eggendart Circle","2260","New South Wales","Australia","2003-02-16","50","Yes","Approved","WeareA2B","Standard","medium","small","2017-12-02","175.89","131.92"
"3214","30","","","","","","","","","","30","02663 Buell Parkway","2519","New South Wales","Australia","2012-06-04","41","Yes","Approved","Solex","Road","medium","medium","2017-04-02","416.98","312.74"
"3225","3476","","","","","","","","","","3476","8863 Maywood Court","2101","New South Wales","Australia","2006-11-10","31","Yes","Approved","Giant Bicycles","Standard","medium","medium","2017-11-02","230.91","173.18"
"3226","3177","","","","","","","","","","3177","06 Kipling Circle","2085","New South Wales","Australia","2003-02-16","50","No","Approved","WeareA2B","Standard","medium","small","2017-06-02","175.89","131.92"
"3228","1503","","","","","","","","","","1503","75 Hoepker Street","2232","New South Wales","Australia","2006-11-10","95","No","Approved","Giant Bicycles","Standard","medium","large","2017-01-29","569.56","528.43"
"3230","2815","","","","","","","","","","2815","69490 Orin Trail","3029","Victoria","Australia","1997-10-04","56","No","Approved","OHM Cycles","Standard","medium","medium","2017-06-02","183.86","137.9"
"3232","2941","","","","","","","","","","2941","692 Anniversary Junction","4207","Queensland","Australia","1998-12-17","63","Yes","Approved","Solex","Standard","medium","medium","2017-04-15","1483.2","99.59"
"3235","1318","","","","","","","","","","1318","889 Straubel Way","4055","Queensland","Australia","1993-04-12","43","No","Approved","Solex","Standard","medium","medium","2017-12-23","1151.96","649.49"
"3238","1351","","","","","","","","","","1351","30 Crescent Oaks Point","3564","Victoria","Australia","1996-04-05","67","Yes","Approved","Solex","Standard","medium","large","2017-03-23","1071.23","380.74"
"3239","209","","","","","","","","","","209","528 Mandrake Crossing","2222","New South Wales","Australia","1999-12-04","44","No","Approved","WeareA2B","Standard","medium","medium","2017-07-13","1769.64","108.76"
"3240","3347","","","","","","","","","","3347","75 Logan Place","3071","Victoria","Australia","2015-08-10","95","Yes","Approved","OHM Cycles","Touring","low","medium","2017-08-17","1073.07","933.84"
"3245","1457","","","","","","","","","","1457","975 Melby Street","2564","New South Wales","Australia","1993-10-02","20","No","Approved","Trek Bicycles","Standard","medium","small","2017-07-12","1775.81","1580.47"
"3246","407","","","","","","","","","","407","78152 Harper Parkway","2756","New South Wales","Australia","1997-01-25","69","No","Approved","Norco Bicycles","Road","medium","large","2017-10-15","1240.31","795.1"
"3247","1417","","","","","","","","","","1417","83758 Kings Hill","2770","New South Wales","Australia","2011-05-09","89","Yes","Approved","Giant Bicycles","Standard","medium","large","2017-04-05","1812.75","582.48"
"3251","3159","","","","","","","","","","3159","541 Ramsey Alley","3201","Victoria","Australia","2010-08-20","68","Yes","Approved","OHM Cycles","Standard","medium","medium","2017-12-05","1636.9","44.71"
"3252","3343","","","","","","","","","","3343","12061 Rowland Alley","3228","Victoria","Australia","2002-10-10","96","Yes","Approved","WeareA2B","Road","low","small","2017-06-12","1172.78","1043.77"
"3254","1000","","","","","","","","","","1000","4757 Texas Trail","3136","Victoria","Australia","2006-05-22","75","No","Approved","Giant Bicycles","Touring","medium","large","2017-12-30","1873.97","863.95"
"3255","1449","","","","","","","","","","1449","5 Carioca Pass","2594","New South Wales","Australia","2011-08-24","64","No","Approved","Giant Bicycles","Standard","high","small","2017-05-02","1977.36","1759.85"
"3256","1239","","","","","","","","","","1239","560 Melody Alley","4122","Queensland","Australia","2014-03-03","6","Yes","Approved","OHM Cycles","Standard","high","medium","2017-01-02","227.88","136.73"
"3262","1946","","","","","","","","","","1946","53 Dakota Court","2027","New South Wales","Australia","2004-12-18","84","Yes","Approved","Trek Bicycles","Road","medium","medium","2017-03-14","290.62","215.14"
"3265","3249","","","","","","","","","","3249","49 Surrey Pass","2325","New South Wales","Australia","1991-11-07","93","Yes","Approved","WeareA2B","Standard","medium","medium","2017-10-01","1065.03","230.09"
"3267","1740","","","","","","","","","","1740","7 Ohio Court","3796","Victoria","Australia","1991-07-10","80","No","Approved","OHM Cycles","Touring","low","medium","2017-12-24","1073.07","933.84"
"3271","1599","","","","","","","","","","1599","2390 Blackbird Point","2035","New South Wales","Australia","2011-01-10","77","No","Approved","Norco Bicycles","Road","medium","large","2017-10-31","1240.31","795.1"
"3272","944","","","","","","","","","","944","9 Colorado Trail","3799","Victoria","Australia","2011-08-29","5","No","Approved","Trek Bicycles","Mountain","low","medium","2017-01-05","574.64","459.71"
"3275","2718","","","","","","","","","","2718","00662 Ludington Court","3228","Victoria","Australia","2010-11-05","72","Yes","Approved","OHM Cycles","Standard","medium","medium","2017-01-12","912.52","141.4"
"3279","887","","","","","","","","","","887","707 Spaight Place","2830","New South Wales","Australia","2015-10-18","72","Yes","Approved","OHM Cycles","Standard","medium","medium","2017-10-14","912.52","141.4"
"3280","1752","","","","","","","","","","1752","5 Huxley Point","2154","New South Wales","Australia","2016-12-06","72","Yes","Approved","Norco Bicycles","Standard","medium","medium","2017-05-27","360.4","270.3"
"3281","340","","","","","","","","","","340","8 Grayhawk Circle","2089","New South Wales","Australia","1991-11-07","5","Yes","Approved","Trek Bicycles","Mountain","low","medium","2017-05-22","574.64","459.71"
"3284","3266","","","","","","","","","","3266","3 Myrtle Pass","2095","New South Wales","Australia","1993-07-20","52","No","Approved","OHM Cycles","Road","medium","medium","2017-10-20","1280.28","829.51"
"3286","2527","","","","","","","","","","2527","633 Menomonie Junction","3523","Victoria","Australia","2013-09-16","83","Yes","Approved","Solex","Touring","medium","large","2017-03-21","2083.94","675.03"
"3290","1012","","","","","","","","","","1012","44594 5th Street","4220","Queensland","Australia","1999-07-26","32","Yes","Approved","Giant Bicycles","Standard","high","medium","2017-03-06","1179.0","707.4"
"3291","1628","","","","","","","","","","1628","76 Roxbury Pass","2528","New South Wales","Australia","2012-05-18","24","No","Approved","Solex","Road","medium","large","2017-08-19","1777.8","820.78"
"3293","3200","","","","","","","","","","3200","842 Texas Crossing","4130","Queensland","Australia","1992-10-02","69","Yes","Approved","Giant Bicycles","Road","medium","medium","2017-08-11","792.9","594.68"
"3296","1567","","","","","","","","","","1567","4 Toban Junction","2154","New South Wales","Australia","1993-06-23","62","Yes","Approved","Solex","Standard","medium","medium","2017-03-14","478.16","298.72"
"3297","423","","","","","","","","","","423","27 Petterle Center","4370","Queensland","Australia","1993-07-20","59","No","Approved","Solex","Standard","medium","large","2017-05-22","1061.56","733.58"
"3298","729","","","","","","","","","","729","8044 Emmet Hill","3150","Victoria","Australia","2016-02-04","65","No","Approved","WeareA2B","Standard","medium","medium","2017-05-30","1807.45","778.69"
"3301","148","","","","","","","","","","148","03 Granby Parkway","3216","Victoria","Australia","1999-07-26","89","Yes","Approved","WeareA2B","Touring","medium","large","2017-05-21","1362.99","57.74"
"3302","1032","","","","","","","","","","1032","8572 Melvin Drive","3145","Victoria","Australia","2004-01-16","94","Yes","Approved","Giant Bicycles","Standard","medium","large","2017-07-24","1635.3","993.66"
"3303","1773","","","","","","","","","","1773","9097 Superior Drive","2114","New South Wales","Australia","1998-12-17","57","No","Approved","WeareA2B","Touring","medium","large","2017-01-27","1890.39","260.14"
"3306","1687","","","","","","","","","","1687","86 Morningstar Junction","2031","New South Wales","Australia","2003-01-05","90","No","Approved","Norco Bicycles","Standard","low","medium","2017-12-20","363.01","290.41"
"3308","760","","","","","","","","","","760","6330 Monica Way","2540","New South Wales","Australia","1992-10-11","29","No","Approved","Norco Bicycles","Road","medium","medium","2017-07-02","543.39","407.54"
"3310","1639","","","","","","","","","","1639","89 Bartillon Plaza","2753","New South Wales","Australia","1997-10-04","50","No","Approved","WeareA2B","Standard","medium","small","2017-11-30","175.89","131.92"
"3313","1266","","","","","","","","","","1266","32 Meadow Ridge Alley","4610","Queensland","Australia","2005-05-10","3","Yes","Approved","Trek Bicycles","Standard","medium","large","2017-04-17","2091.47","388.92"
"3325","2804","","","","","","","","","","2804","2 Elka Trail","2770","New South Wales","Australia","1993-06-23","54","Yes","Approved","WeareA2B","Standard","medium","medium","2017-07-08","1292.84","13.44"
"3326","1340","","","","","","","","","","1340","5061 Cottonwood Trail","3765","Victoria","Australia","2006-10-01","99","Yes","Approved","Trek Bicycles","Road","low","small","2017-10-04","1720.7","1531.42"
"3327","874","","","","","","","","","","874","2 School Street","2010","New South Wales","Australia","2002-10-10","96","No","Approved","WeareA2B","Road","low","small","2017-05-31","1172.78","1043.77"
"3331","665","","","","","","","","","","665","77006 Nelson Point","4171","Queensland","Australia","2004-08-07","86","No","Approved","OHM Cycles","Standard","medium","medium","2017-09-29","235.63","125.07"
"3338","1974","","","","","","","","","","1974","18 Express Street","2165","New South Wales","Australia","2004-08-07","82","No","Approved","Norco Bicycles","Standard","high","medium","2017-06-05","1148.64","689.18"
"3339","2189","","","","","","","","","","2189","63123 Merry Alley","4500","Queensland","Australia","2009-03-08","0","No","Approved","OHM Cycles","Road","high","large","2017-06-04","12.01","7.21"
"3341","1117","","","","","","","","","","1117","98 Schiller Junction","2747","New South Wales","Australia","2015-06-17","61","Yes","Approved","OHM Cycles","Standard","low","medium","2017-03-02","71.16","56.93"
"3345","3269","","","","","","","","","","3269","65973 Morrow Alley","2170","New South Wales","Australia","2011-08-29","5","Yes","Approved","Trek Bicycles","Mountain","low","medium","2017-08-19","574.64","459.71"
"3347","2987","","","","","","","","","","2987","23812 Tony Lane","2036","New South Wales","Australia","1997-08-25","19","No","Approved","Trek Bicycles","Mountain","low","medium","2017-05-09","574.64","459.71"
"3349","2747","","","","","","","","","","2747","5 Lakewood Gardens Court","2118","New South Wales","Australia","1993-10-02","23","No","Approved","Norco Bicycles","Mountain","low","small","2017-12-12","688.63","612.88"
"3350","2999","","","","","","","","","","2999","4 Loftsgordon Avenue","3023","Victoria","Australia","1997-01-25","73","Yes","Approved","Solex","Standard","medium","medium","2017-03-13","1945.43","333.18"
"3352","550","","","","","","","","","","550","1949 Pepper Wood Pass","3168","Victoria","Australia","2016-12-06","72","No","Approved","Norco Bicycles","Standard","medium","medium","2017-12-11","360.4","270.3"
"3355","3264","","","","","","","","","","3264","8 Marquette Court","2204","New South Wales","Australia","2015-10-18","54","Yes","Approved","WeareA2B","Standard","medium","medium","2017-06-19","1292.84","13.44"
"3356","2459","","","","","","","","","","2459","975 Annamark Hill","4034","Queensland","Australia","2004-08-07","0","No","Approved","OHM Cycles","Standard","medium","medium","2017-07-26","235.63","125.07"
"3357","2648","","","","","","","","","","2648","736 Tomscot Center","4503","Queensland","Australia","1991-01-21","57","No","Approved","WeareA2B","Touring","medium","large","2017-01-07","1890.39","260.14"
"3362","1023","","","","","","","","","","1023","37208 Golf View Terrace","2145","New South Wales","Australia","2015-10-18","50","No","Approved","WeareA2B","Standard","medium","small","2017-08-27","175.89","131.92"
"3373","2101","","","","","","","","","","2101","344 Rockefeller Way","3966","Victoria","Australia","1999-12-04","74","No","Approved","WeareA2B","Standard","medium","medium","2017-06-13","1228.07","400.91"
"3377","2928","","","","","","","","","","2928","423 Golf Point","2044","New South Wales","Australia","2014-03-03","10","No","Approved","WeareA2B","Touring","medium","medium","2017-07-02","1466.68","363.25"
"3379","1967","","","","","","","","","","1967","67104 Bunting Crossing","2043","New South Wales","Australia","2003-01-05","88","Yes","Approved","Norco Bicycles","Standard","medium","medium","2017-10-04","1198.46","381.1"
"3384","295","","","","","","","","","","295","76 Graedel Street","4812","Queensland","Australia","1995-12-19","29","No","Approved","Norco Bicycles","Road","medium","medium","2017-04-11","543.39","407.54"
"3387","497","","","","","","","","","","497","6390 Truax Park","3012","Victoria","Australia","1991-08-05","23","Yes","Approved","Norco Bicycles","Mountain","low","small","2017-08-04","688.63","612.88"
"3393","2100","","","","","","","","","","2100","88039 Melody Lane","3088","Victoria","Australia","2014-07-28","48","No","Approved","WeareA2B","Standard","medium","medium","2017-09-26","1762.96","950.52"
"3394","1194","","","","","","","","","","1194","261 Farmco Drive","4118","Queensland","Australia","1996-04-05","21","Yes","Approved","Solex","Standard","medium","large","2017-05-12","1071.23","380.74"
"3395","2584","","","","","","","","","","2584","592 Oak Valley Center","2534","New South Wales","Australia","1991-01-21","92","No","Approved","WeareA2B","Touring","medium","large","2017-11-22","1890.39","260.14"
"3396","3288","","","","","","","","","","3288","6 Cascade Trail","2770","New South Wales","Australia","2003-07-21","40","Yes","Approved","Trek Bicycles","Road","medium","large","2017-07-07","1894.19","598.76"
"3400","1611","","","","","","","","","","1611","6491 Gerald Court","2261","New South Wales","Australia","2004-08-07","43","Yes","Approved","Norco Bicycles","Standard","medium","medium","2017-02-25","1555.58","818.01"
"3406","3365","","","","","","","","","","3365","297 Kinsman Park","2766","New South Wales","Australia","2016-02-04","25","No","Approved","Giant Bicycles","Road","medium","medium","2017-02-03","1538.99","829.65"
"3408","3377","","","","","","","","","","3377","08 Arapahoe Alley","4213","Queensland","Australia","2004-08-07","85","No","Approved","WeareA2B","Standard","medium","medium","2017-06-16","752.64","205.36"
"3410","556","","","","","","","","","","556","06008 Anthes Pass","2478","New South Wales","Australia","2011-05-07","24","No","Approved","Solex","Road","medium","large","2017-08-14","1777.8","820.78"
"3412","3106","","","","","","","","","","3106","11171 Rigney Court","2770","New South Wales","Australia","2008-03-19","39","Yes","Approved","Giant Bicycles","Standard","medium","large","2017-05-01","1812.75","582.48"
"3413","197","","","","","","","","","","197","8890 Golden Leaf Street","2063","New South Wales","Australia","1996-11-09","62","No","Approved","Solex","Standard","high","medium","2017-09-13","1024.66","614.8"
